0.442 -0.08274539 -0.00464974
0.443 -0.08266065 -0.00464887
0.444 -0.08257485 -0.00464800
0.445 -0.08248797 -0.00464710
0.446 -0.08240002 -0.00464619
0.447 -0.08231097 -0.00464527
0.448 -0.08222083 -0.00464433
0.449 -0.08212958 -0.00464338
0.450 -0.08203721 -0.00464241
0.451 -0.08194372 -0.00464142
0.452 -0.08184909 -0.00464042
0.453 -0.08175331 -0.00463940
0.454 -0.08165638 -0.00463837
0.455 -0.08155829 -0.00463732
0.456 -0.08145902 -0.00463625
0.457 -0.08135856 -0.00463517
0.458 -0.08125691 -0.00463407
0.459 -0.08115406 -0.00463295
0.460 -0.08105000 -0.00463182
0.461 -0.08094471 -0.00463067
0.462 -0.08083818 -0.00462950
0.463 -0.08073042 -0.00462831
0.464 -0.08062140 -0.00462711
0.465 -0.08051111 -0.00462589
0.466 -0.08039955 -0.00462465
0.467 -0.08028670 -0.00462340
0.468 -0.08017256 -0.00462212
0.469 -0.08005711 -0.00462083
0.470 -0.07994034 -0.00461952
0.471 -0.07982225 -0.00461819
0.472 -0.07970282 -0.00461684
0.473 -0.07958203 -0.00461547
0.474 -0.07945989 -0.00461409
0.475 -0.07933637 -0.00461268
0.476 -0.07921148 -0.00461126
0.477 -0.07908518 -0.00460982
0.478 -0.07895749 -0.00460835
0.479 -0.07882837 -0.00460687
0.480 -0.07869783 -0.00460537
0.481 -0.07856585 -0.00460385
0.482 -0.07843241 -0.00460230
0.483 -0.07829752 -0.00460074
0.484 -0.07816115 -0.00459916
0.485 -0.07802329 -0.00459755
0.486 -0.07788393 -0.00459593
0.487 -0.07774307 -0.00459428
0.488 -0.07760068 -0.00459261
0.489 -0.07745676 -0.00459092
0.490 -0.07731129 -0.00458921
0.491 -0.07716426 -0.00458748
0.492 -0.07701566 -0.00458573
0.493 -0.07686547 -0.00458395
0.494 -0.07671369 -0.00458216
0.495 -0.07656030 -0.00458034
0.496 -0.07640529 -0.00457849
0.497 -0.07624864 -0.00457663
0.498 -0.07609035 -0.00457474
0.499 -0.07593039 -0.00457283
0.500 -0.07593039 -0.00459628
0.501 -0.07576653 -0.00459425
0.502 -0.07560095 -0.00459221
0.503 -0.07543364 -0.00459013
0.504 -0.07526459 -0.00458804
0.505 -0.07509378 -0.00458592
0.506 -0.07492120 -0.00458378
0.507 -0.07474685 -0.00458161
0.508 -0.07457069 -0.00457942
0.509 -0.07439272 -0.00457721
0.510 -0.07421293 -0.00457497
0.511 -0.07403130 -0.00457270
0.512 -0.07384782 -0.00457041
0.513 -0.07366247 -0.00456810
0.514 -0.07347524 -0.00456576
0.515 -0.07328611 -0.00456339
0.516 -0.07309507 -0.00456100
0.517 -0.07290211 -0.00455858
0.518 -0.07270721 -0.00455613
0.519 -0.07251035 -0.00455366
0.520 -0.07231152 -0.00455116
0.521 -0.07211070 -0.00454864
0.522 -0.07190789 -0.00454608
0.523 -0.07170306 -0.00454351
0.524 -0.07149620 -0.00454090
0.525 -0.07128729 -0.00453826
0.526 -0.07107632 -0.00453560
0.527 -0.07086327 -0.00453291
0.528 -0.07064813 -0.00453019
0.529 -0.07043088 -0.00452744
0.530 -0.07021150 -0.00452466
0.531 -0.06998998 -0.00452186
0.532 -0.06976630 -0.00451902
0.533 -0.06954045 -0.00451616
0.534 -0.06931240 -0.00451326
0.535 -0.06908215 -0.00451034
0.536 -0.06884968 -0.00450738
0.537 -0.06861496 -0.00450440
